bucket,pkts,bytes
12104,1510,2199130
12105,1,1298
12137,2879,4173056
12150,3,2714
12154,95,15182
12194,22,4348
12200,1,1298
12219,3,3894
12224,16,2230
12234,1572,2235334
12235,79,14184
12334,49,11683
12339,50,11872
12354,1,1298
12386,3,3894
12398,1,1298
12435,1,1298
12445,7047,10334035
12463,1,1298
12494,58959,86986220
12527,1,1298
12536,1,1298
12541,1,1298
12558,3,3894
12579,8,8448
12583,3,3894
12590,50374,74335316
12613,1,1298
12619,1,1298
12621,3,3894
12651,43687,64527711
12664,15312,22567099
12674,20498,30222115
12712,22,17260
12716,3,2714
12722,16,3635
12724,1,1298
12732,3,3894
12796,8,8432
12817,1,1298
12825,1,1298
12848,1,1298
12875,3,3894
12881,103,16771
12895,8076,11860009
12900,57,11112
12911,2212,3160648
12941,8,8464
12942,18,16812
12963,358,42227
13000,3,3894
13009,28580,42139816
13010,49,11727
13017,126,18825
13018,39,10832
13029,1,1298
13055,3,3894
13063,224,29819
13072,3,3894
13077,465,52028
13127,3,2714
13129,3,3894
13133,3,2714
13138,3,3894
13144,35782,52705485
13168,80,14893
13214,2393,3489774
13220,1,1298
13223,1,1298
13251,3,2714
13254,1,1298
13266,20,4043
13272,18,3939
13293,3,3894
13321,1,1298
13322,1,1298
13347,3,3894
13370,1,1298
13372,3,3894
13374,76,14209
13375,1,1298
13382,6101,8877694
13387,76,12923
13393,1,1298
13419,394,47950
13426,768,1092614
13435,306,36705
13465,1,1298
13470,1,1298
13475,1,1298
13489,3,2714
13492,3,3894
13528,3,3894
13543,3,3894
13571,3,3894
13602,15341,22590246
13604,818,88799
13607,3,3894
13675,162,22106
13686,14186,20913918
13691,20812,30652993
13698,1,1298
13699,3,2714
13799,3,2714
13824,54222,80040021
13861,19,18146
13909,68391,101043570
13925,3,2714
13931,56,12208
13932,1743,2512442
13949,1,1298
13955,3,3894
13964,1,1298
13966,5,6490
13989,1,1298
14019,477,54889
14094,1,1298
14168,16,3635
14203,1,1298
14221,3,2714
14230,46870,69233073
14274,404,46163
14302,12801,18847839
14313,851,1206587
14378,50,11637
14403,3,3894
14462,3303,4826949
14470,1,1298
14471,3203,4651369
14522,24,16565
14525,3,3894
14542,3,3894
14551,57,12298
14567,5,6490
14573,86,15940
14622,1,1298
14641,1,1298
14676,1,1298
14677,1,1298
14681,26668,39326501
14682,642,73207
14701,3,3894
14711,1,1298
14715,1,1298
14730,23851,35167079
14743,2285,3260650
14748,45631,67362436
14751,8621,12711439
14754,59,12681
14779,3,2714
14782,3,2714
14809,3,2714
14817,3,3894
14819,3,3894
14825,5674,8265822
14828,3,3894
14839,1,1298
14848,575,63470
14852,3,3894
14860,3,3894
14873,3,2714
14885,1,1298
14903,21,16253
14908,1,1298
14926,3,3894
14927,60,13094
14934,3,3894
14939,1,1298
14952,3,3894
14968,3,3894
14972,47,11330
14986,71694,105880289
15020,2,1416
15021,3,2714
15070,1,1298
15085,50,11619
15100,520,59483
15113,72294,106800847
15116,16,2230
15124,1375,1973904
15127,1,1298
15131,58,11556
15172,51,11788
15185,1,1298
15196,8884,13012606
15207,8,8454
15208,3,2714
15231,91,15933
15238,1,1298
15242,36,9150
15265,72,14224
15275,1,1298
15294,3,2714
15320,1,1298
15329,3,2714
15364,1,1298
15367,3,2714
15392,2381,3458743
15415,235,29933
15443,3,2714
15447,46214,68171432
15461,11778,17336060
15474,67805,100138059
15501,9993,14632875
15508,1,1298
15524,1,1298
15531,2069,2968156
15551,8843,12947097
15588,41078,60626761
15616,3,3894
15622,3,2714
15641,36,10477
15656,5,6490
15680,1960,2765452
15706,1,1298
15710,1,1298
15721,3,2714
15731,105,17092
15751,1692,2394005
15754,3,3894
15755,6,6608
15760,40,9610
15763,18,16792
15855,1,1298
15867,1,1298
15870,23169,34140576
15875,53618,78010430
15888,1,1298
15906,518,58628
15934,1,1298
15938,41604,61449266
15942,1,1298
15958,1,1298
15969,150,21237
15975,1,1298
16012,3,2714
16013,3,2714
16045,462,52364
16087,3,3894
16091,913,1279876
16100,1,1298
16107,1,1298
16172,3,3894
16188,1,1298
16205,363,44031
16209,1,1298
16246,141,20960
16257,1,1298
16263,315,39429
16292,10599,15614244
16301,748,86380
16319,3,3894
16338,192,25028
16343,831,1163258
16346,3,3894
16363,1,1298
16368,3,3894
16383,3,3894
16409,1,1298
16479,14368,21008497
16480,500,56887
16487,9787,14367286
16490,3,3894
16531,695,77331
16548,1,1298
16549,1,1298
16572,1,1298
16582,5,6490
16612,1647,2330764
16615,530,61996
16642,2,1416
16654,23171,34127446
16655,1022,1422641
16659,3,3894
16674,43,9787
16677,329,38967
16699,467,54396
16714,7447,10968614
16716,1,1298
16742,1202,128406
16752,1,1298
16788,1,1298
16790,50,8811
16804,18,16836
16810,1,1298
16811,974,1369182
16816,34,10147
16830,3,2714
16883,40,10779
16885,3,3894
16886,1,1298
16900,615,71684
16951,2173,3155677
16955,1,1298
16957,3,2714
16958,18475,27245578
16970,1,1298
16978,1,1298
16985,4,5192
16997,3,3894
17000,1,1298
17018,3,3894
17036,23425,34543748
17038,1,1298
17069,10877,16003259
17078,3,3894
17112,3,2714
17125,155,20694
17126,3,3894
17195,3,3894
17227,3,2714
17259,5949,8699042
17278,1,1298
17299,26936,39145665
17355,332,38837
17360,1,1298
17371,17108,25176101
17386,624,69939
17387,3,3894
17389,4,5192
17431,3,3894
17438,3,2714
17449,44396,65553390
17463,16278,23955087
17478,3,3894
17481,33076,48733138
17520,1,1298
17543,9979,14705639
17554,1,1298
17564,3,3894
17589,3,3894
17639,43,11986
17684,2,2596
17700,70904,104206109
17704,1,1298
17708,3,3894
17755,62,12872
17791,1,1298
17804,1,1298
17819,44,11175
17878,1778,2513803
17929,3,3894
17935,3,3894
17946,1,1298
17947,50,10729
17948,46,10305
17960,1120,1604966
17967,29894,44107074
17977,11775,17304060
17987,2,1416
18053,1,1298
18071,419,48223
18077,702,78169
18106,51,11909
18158,852,92104
18183,3357,4914065
18195,25215,37154750
18212,3,3894
18218,7815,11485597
